Filename,Distribution Date,Determination Date,Total Principal Funds Available,Scheduled Principal,Curtailments,Prepayments in Full,Net Liquidation Proceeds
CertStmtCMLT06AMC10610.pdf,10/25/2006,10/10/2006,22990481.96,594887.10,148674.35,21868304.28,0.00
certstmtcmlt06amc10611.pdf,11/27/2006,11/10/2006,41618161.75,589395.82,64093.07,27992287.67,126782.31
CertStmtCMLT06AMC10612.pdf,12/26/2006,12/08/2006,26363234.61,572543.82,47700.19,25298882.73,0.00
CertStmtCMLT06AMC10701.pdf,01/25/2007,01/10/2007,60094953.04,563118.30,55687.15,26601089.16,133980.24
CertStmtCMLT06AMC10702.pdf,02/26/2007,02/09/2007,25012377.15,544838.39,100290.42,19434125.39,100533.12
certstmtcmlt06amc10703.pdf,03/26/2007,03/09/2007,20280417.88,539015.38,28072.44,19486679.99,226650.07
CertStmtCMLT06AMC10704.pdf,04/25/2007,04/10/2007,21916460.73,532072.73,59363.32,20680250.48,644774.20
CertStmtCMLT06AMC10705.pdf,05/25/2007,05/10/2007,18589548.04,524505.74,32428.08,18032606.09,8.13
CertStmtCMLT06AMC10706.pdf,06/25/2007,06/08/2007,17542778.10,518116.47,567977.42,15971354.05,485330.16
CertStmtCMLT06AMC10707.pdf,07/25/2007,07/10/2007,21172328.47,514386.76,54616.89,19622306.67,981018.15
CertStmtCMLT06AMC10708.pdf,08/27/2007,08/10/2007,19131295.24,502715.62,57533.84,17308276.47,1262769.31
CertStmtCMLT06AMC10709.PDF,09/25/2007,09/10/2007,15262064.49,495116.23,66404.96,13865630.27,834913.03
CertStmtCMLT06AMC10710.pdf,10/25/2007,10/10/2007,10765095.80,494451.32,39069.41,9795441.05,436134.02
CertStmtCMLT06AMC10711.pdf,11/26/2007,11/09/2007,9586824.92,492641.63,38319.57,8123456.38,932407.34
CertStmtCMLT06AMC10712.pdf,12/26/2007,12/10/2007,8697183.76,489328.99,36389.19,7495158.89,676306.69
CertStmtCMLT06AMC10801.pdf,01/25/2008,01/10/2008,7986583.10,487895.76,33034.99,5504221.92,1961430.43
CertStmtCMLT06AMC10802.pdf,02/25/2008,02/08/2008,6095204.34,487520.28,-16936.58,4520320.72,1104299.92
CertStmtCMLT06AMC10803.pdf,03/25/2008,03/10/2008,9314307.15,486545.83,4665.71,6174443.14,2648652.47
certstmtcmlt06amc10804.pdf,04/25/2008,04/10/2008,8083963.91,485071.84,-246105.79,6257095.13,1587902.73
CertStmtCMLT06AMC10805.pdf,05/27/2008,05/09/2008,9251312.25,483690.79,-64701.05,5082983.64,3749338.87
CertStmtCMLT06AMC10806.pdf,06/25/2008,06/10/2008,8344596.42,481495.07,-200037.12,6487983.70,1575154.77
CertStmtCMLT06AMC10807.pdf,07/25/2008,07/10/2008,11497547.23,461193.18,-38653.61,8323629.59,2751378.07
CertStmtCMLT06AMC10808.pdf,08/25/2008,08/08/2008,12744506.64,449540.87,-40177.12,6966841.21,5368301.68
CertStmtCMLT06AMC10809.pdf,09/25/2008,09/10/2008,8944244.81,446250.04,-108773.24,4492105.39,4114662.62
CertStmtCMLT06AMC10810.pdf,10/27/2008,10/10/2008,10895739.90,447220.00,-241218.35,5685822.37,5003915.88
CertStmtCMLT06AMC10811.pdf,11/25/2008,11/10/2008,10805703.88,446431.73,-220806.59,3139758.63,7440320.11
CertStmtCMLT06AMC10812.pdf,12/26/2008,12/10/2008,7466923.20,444132.43,-337635.39,2203669.30,5156756.86
CertStmtCMLT06AMC10901.pdf,01/26/2009,01/09/2009,6471179.32,426324.94,-431495.13,2248913.05,4227436.46
CertStmtCMLT06AMC10902.pdf,02/25/2009,02/10/2009,8846781.37,428283.54,-307892.29,3607432.66,5118957.46
CertStmtCMLT06AMC10903.pdf,03/25/2009,03/10/2009,2793995.17,407641.28,18880.26,1125721.85,1241751.78
CertStmtCMLT06AMC10904.pdf,04/27/2009,04/10/2009,6592494.23,395332.74,-404926.56,1724728.03,4877360.02
CertStmtCMLT06AMC10905.pdf,05/26/2009,05/08/2009,2286964.03,393640.44,-1606687.89,1814126.21,1685885.27
