Transaction ID,Investor Loan #,Servicer Loan #,Pool #,SubPool #,Distribution Date,Paid To Date,Advance Paid To Date,Scheduled Gross Interest,Master Servicing Fee,Servicing Fee,Trustee Fee,Insurance Fee,Special Servicing Fee,Scheduled Net Interest,Other Fees,Beginning Scheduled Balance,Ending Scheduled Balance,Beginning Actual  Balance,Ending Actual  Balance,Scheduled Principal,Curtailments,Curtailment Adjustments,Other Principal Adjustments,Curtailment Date,PIF Type,PIF Date,Prepayment,Repurchase Principal,Liquidation Principal,Principal Recoveries,Interest Recoveries,Total Recoveries,Principal Losses,Interest Losses,Total Losses,PPIS,PPIE,SSCRA Shorfalls,Other Interest Adjustments,Principal Advances,Interest Advances,Stop Advance Flag,Stop Advance Principal,Stop Advance Interest,Total Stop Advance,Current P&I Constant,Special Hazard Losses,Fraud Losses,Bankruptcy Losses,Delinquency Status,REO Date,REO Balance,REO Book Value,Loan Status,Neg Am,Prepay Penalty/YM,Prepay Penalty/YM Waived,Current Note Rate,Next Note Rate,Current Net Note Rate,Next Net Note Rate,Next Rate Adjustment Date,Next Payment Adjustment Date,Remaining Term,Modification Flag,Modification Date
CMLT06AMC1,84932177,,1,1,20140325,20080501,,0,0,0,0,0,0,0,1.52,112499.94,112499.94,112499.94,112499.94,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,857.17,0,0,0,xxx,,0,0,11,0,0,0,7.85,0,7.33375,0,,,264,N,
CMLT06AMC1,84951979,,1,1,20140325,20130901,,328.38,44.97,0,0,0,0,0,1.46,107935.39,107647.95,109452.55,109201.76,287.44,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,287.44,283.41,N,0,0,0,615.82,0,0,0,xxx,,0,0,0,0,0,0,3.65084,0,3.13459,0,,,264,N,
CMLT06AMC1,85236172,,2,1,20140325,20131201,,0,0,0,0,0,0,0,1.46,107732.66,107416.88,107732.66,107416.88,0,315.78,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,134.66,0,0,Y,0,0,0,495.33,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,267,N,
CMLT06AMC1,85472694,,2,1,20140325,20140301,,397.8,99.45,0,0,0,0,0,3.23,238680.85,238315.79,238680.85,238315.79,365.06,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,132.22,0,0,N,0,0,0,762.86,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,267,N,
CMLT06AMC1,85480291,,1,1,20140325,20140201,,380.4,52.98,0,0,0,0,0,1.72,127153.43,127031.04,127275.45,127153.43,122.39,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,122.39,327.42,N,0,0,0,502.79,0,0,0,xxx,,0,0,0,0,0,0,3.59,0,3.07375,0,,,267,Y,20081231
CMLT06AMC1,85498939,,1,1,20140325,20140301,,473.92,24.81,0,0,0,0,0,0.81,59549.61,59485.87,59549.61,59485.87,63.74,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,537.66,0,0,0,xxx,,0,0,0,0,0,0,9.55,0,9.03375,0,,,268,N,
CMLT06AMC1,85503530,,1,1,20140325,20140101,,351.92,42.66,0,0,0,0,0,1.39,102376.76,102145.93,102606.8,102606.8,230.83,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,35.04,230.83,309.26,N,0,0,0,582.75,0,0,0,xxx,,0,0,0,0,0,0,4.125,0,3.60875,0,,,268,N,
CMLT06AMC1,85504215,,1,1,20140325,20130801,,0,0,0,0,0,0,0,1.01,74458.02,74458.02,74458.02,74458.02,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,434.67,0,0,0,xxx,,0,0,0,0,0,0,4.46,0,3.94375,0,,,267,N,
CMLT06AMC1,85534337,,1,1,20140325,20131201,,1200.31,75.49,0,0,0,0,0,2.45,181179,180932.47,181667.2,181667.2,246.53,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,246.53,1124.82,N,0,0,0,1446.84,0,0,0,xxx,,0,0,0,0,0,0,7.95,0,7.43375,0,,,267,N,
CMLT06AMC1,85538932,,1,1,20140325,20140201,,627.14,36.67,0,0,0,0,0,1.19,88019.41,87902.67,88135.33,88019.41,116.74,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,116.74,590.47,N,0,0,0,743.88,0,0,0,xxx,,0,0,0,0,0,0,8.55,0,8.03375,0,,,267,N,
CMLT06AMC1,85554178,,1,1,20140325,20140201,,903.82,103.29,0,0,0,0,0,3.36,247903.65,247355.06,248450.25,247903.65,548.59,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.6,548.59,800.53,N,0,0,0,1452.41,0,0,0,xxx,,0,0,0,0,0,0,4.375,0,3.85875,0,,,267,N,
CMLT06AMC1,85561934,,1,1,20140325,20140201,,994.66,66.31,0,0,0,0,0,2.16,159145.64,158916.67,159373.19,159145.64,228.97,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,228.97,928.35,N,0,0,0,1223.63,0,0,0,xxx,,0,0,0,0,0,0,7.5,0,6.98375,0,,,268,N,
CMLT06AMC1,85574416,,2,1,20140325,20140201,,84.55,21.14,0,0,0,0,0,0.69,50732.53,50645.42,50819.49,50732.53,87.11,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,36.53,87.11,63.41,N,0,0,0,171.66,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,267,N,
CMLT06AMC1,85574937,,1,1,20140325,20131201,,0,0,0,0,0,0,0,3.46,255617.83,255617.83,256000.62,256000.62,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,1929.46,0,0,0,xxx,,0,0,0,0,0,0,7.25,0,6.73375,0,,,267,N,
CMLT06AMC1,85586337,,1,1,20140325,20131101,,0,0,0,0,0,0,0,2.53,187060.69,187060.69,187282.28,187282.28,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,1587.19,0,0,0,xxx,,0,0,0,0,0,0,8.75,0,8.23375,0,,,267,N,
CMLT06AMC1,85602134,,1,1,20140325,20140201,,1038.93,70.68,0,0,0,0,0,2.3,169621.74,0,169621.74,0,0,0,0,0,,2,20140211,169621.74,0,0,0,0,0,0,0,0,645.5,0,0,0,377.6,968.25,N,0,0,0,1416.53,0,0,0,xxx,,0,0,0,0,0,0,7.35,0,6.83375,0,,,267,N,
CMLT06AMC1,85602373,,1,1,20140325,20140301,,530.18,92.2,0,0,0,0,0,3,221291.1,220944.72,221291.1,220944.72,346.38,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,876.56,0,0,0,xxx,,0,0,0,0,0,0,2.875,0,2.35875,0,,,267,N,
CMLT06AMC1,85603611,,1,1,20140325,20140301,,183.64,45.91,0,0,0,0,0,1.49,110186.48,109999.6,110186.48,109999.6,186.88,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-403.94,0,0,N,0,0,0,370.52,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,267,N,
CMLT06AMC1,85607976,,1,1,20140325,20140101,,414.75,103.69,0,0,0,0,0,3.37,248848.74,248328.54,249368.08,249368.08,520.2,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,46.17,520.2,311.06,N,0,0,0,934.95,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,267,Y,20081111
CMLT06AMC1,85612893,,1,1,20140325,20140101,,326.45,81.61,0,0,0,0,0,2.65,195867.75,195602.08,196397.77,196132.98,265.67,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,265.67,244.84,N,0,0,0,592.12,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,267,N,
CMLT06AMC1,85622298,,1,1,20140325,20140301,,398.66,25.23,0,0,0,0,0,0.82,60556.16,60472.94,60556.16,60472.94,83.22,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,481.88,0,0,0,xxx,,0,0,0,0,0,0,7.9,0,7.38375,0,,,267,N,
CMLT06AMC1,85624179,,1,1,20140325,20131201,,0,0,0,0,0,0,0,1.78,131399.79,131202.79,131399.79,131202.79,0,197,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,722.7,0,0,Y,0,0,0,974.45,0,0,0,xxx,,0,0,0,0,0,0,7.1,0,6.58375,0,,,267,N,
CMLT06AMC1,85628337,,1,1,20140325,20140101,,706.53,35.59,0,0,0,0,0,1.16,85424.5,85337.19,85511.09,85511.09,87.31,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,87.31,670.94,N,0,0,0,793.84,0,0,0,xxx,,0,0,0,0,0,0,9.925,0,9.40875,0,,,267,N,
CMLT06AMC1,85631851,,1,1,20140325,20140301,,788.27,56.51,0,0,0,0,0,1.84,135615.68,135357.41,135615.68,135357.41,258.27,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,1046.54,0,0,0,xxx,,0,0,0,0,0,0,6.975,0,6.45875,0,,,267,N,
CMLT06AMC1,85632214,,2,1,20140325,20140201,,346.86,86.71,0,0,0,0,0,2.82,208113.95,207490.5,208736.37,208113.95,623.45,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,623.45,260.15,N,0,0,0,970.31,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,268,N,
CMLT06AMC1,85635019,,1,1,20140325,20140201,,897.88,59.86,0,0,0,0,0,1.95,143660.08,143451.81,143867.06,143660.08,208.27,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-575,208.27,838.02,N,0,0,0,1106.15,0,0,0,xxx,,0,0,0,0,0,0,7.5,0,6.98375,0,,,267,N,
CMLT06AMC1,85636934,,1,1,20140325,20140201,,415.8,29.49,0,0,0,0,0,0.96,70774.83,0,70774.83,0,331.38,0,0,0,,2,20140303,70443.45,0,0,0,0,0,0,0,0,0,25.75,0,0,331.38,386.31,N,0,0,0,747.18,0,0,0,xxx,,0,0,0,0,0,0,7.05,0,6.53375,0,,,147,N,
CMLT06AMC1,85637734,,1,1,20140325,20130701,,0,0,0,0,0,0,0,1.58,116940.23,116940.23,116940.23,116940.23,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-454.83,0,0,Y,0,0,0,739.48,0,0,0,xxx,,0,0,10,0,0,0,5.35,0,4.83375,0,,,267,N,
CMLT06AMC1,85640134,,1,1,20140325,20131001,,0,0,0,0,0,0,0,0.87,64252.18,64252.18,64252.18,64252.18,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,197.6,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,267,N,
CMLT06AMC1,85645539,,1,1,20140325,20140201,,336.31,49.46,0,0,0,0,0,1.61,118697.38,118383.95,119009.93,118697.38,313.43,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,85.77,313.43,286.85,N,0,0,0,649.74,0,0,0,xxx,,0,0,0,0,0,0,3.4,0,2.88375,0,,,267,N,
CMLT06AMC1,85649812,,2,1,20140325,20140201,,621.24,155.31,0,0,0,0,0,5.05,372741.21,371839.76,374539.62,372741.21,901.45,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,177.6,901.45,465.93,N,0,0,0,1522.69,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,267,N,
CMLT06AMC1,85652139,,1,1,20140325,20140301,,847.84,61.89,0,0,0,0,0,2.01,148526.27,148421.62,148526.27,148421.62,104.65,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,952.49,0,0,0,xxx,,0,0,0,0,0,0,6.85,0,6.33375,0,,,267,N,
CMLT06AMC1,85656650,,1,1,20140325,20140201,,576.04,37.9,0,0,0,0,0,1.23,90954.23,90824.19,91083.45,90954.23,130.04,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,130.04,538.14,N,0,0,0,706.08,0,0,0,xxx,,0,0,0,0,0,0,7.6,0,7.08375,0,,,267,N,
CMLT06AMC1,85664852,,1,1,20140325,20120701,,0,0,0,0,0,0,0,3.1,229109.93,229109.93,236474.82,236474.82,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,1058.1,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,267,N,
CMLT06AMC1,85667699,,1,1,20140325,20131101,,0,0,0,0,0,0,0,1.08,79643.44,79643.44,79820.34,79820.34,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,Y,0,0,0,703.39,0,0,0,xxx,,0,0,0,0,0,0,9.25,0,8.73375,0,,,267,N,
CMLT06AMC1,85675213,,2,1,20140325,20130601,,0,0,0,0,0,0,0,4.49,331236.25,331236.25,336225.71,336225.71,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-10.5,0,0,Y,0,0,0,2647.8,0,0,0,xxx,,0,0,0,0,0,0,6.95,0,6.43375,0,,,268,N,
CMLT06AMC1,85678571,,1,1,20140325,20130101,,0,0,0,0,0,0,0,2.28,168094.18,168094.18,168894.15,168894.15,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-542.74,0,0,Y,0,0,0,1529.68,0,0,0,xxx,,0,0,0,0,0,0,9.75,0,9.23375,0,,,267,N,
CMLT06AMC1,85684058,,1,1,20140325,20140301,,909.55,101.06,0,0,0,0,0,3.28,242547.01,242025.43,243066.64,242025.43,521.58,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,117.68,0,0,N,0,0,0,1431.13,0,0,0,xxx,,0,0,0,0,0,0,4.5,0,3.98375,0,,,267,N,
CMLT06AMC1,85684819,,1,1,20140325,20140301,,933.68,74.1,0,0,0,0,0,2.41,177843.9,177539.63,177843.9,177539.63,304.27,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,1237.95,0,0,0,xxx,,0,0,0,0,0,0,6.3,0,5.78375,0,,,267,N,
CMLT06AMC1,85691897,,1,1,20140325,20140201,,428.9,75.44,0,0,0,0,0,2.45,181051.65,179143.43,179411.97,179411.97,264.66,1643.56,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-511.46,264.66,353.46,N,0,0,0,693.56,0,0,0,xxx,,0,0,0,0,0,0,2.84275,0,2.3265,0,,,267,N,
CMLT06AMC1,85694735,,1,1,20140325,20130901,,0,0,0,0,0,0,0,1.38,101933.76,101933.76,101933.76,101933.76,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,296.13,0,0,0,xxx,,0,0,10,0,0,0,2,0,1.48375,0,,,266,N,
CMLT06AMC1,85701530,,2,1,20140325,20111201,,0,0,0,0,0,0,0,3.13,231189.17,231189.17,242278.97,242278.97,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-663.66,0,0,Y,0,0,0,1196.53,0,0,0,xxx,,0,0,10,0,0,0,3.25,0,2.73375,0,,,267,N,
CMLT06AMC1,85703130,,1,1,20140325,20140101,,0,0,0,0,0,0,0,0.97,71838.36,71747.51,71838.36,71747.51,0,90.85,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,34.05,0,0,Y,0,0,0,590.73,0,0,0,xxx,,0,0,0,0,0,0,8.35,0,7.83375,0,,,267,N,
CMLT06AMC1,85703338,,2,1,20140325,20080601,,0,0,0,0,0,0,0,3.93,290353.93,290353.93,291499.3,291499.3,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,0,0,0,1806.23,0,0,0,xxx,,0,0,10,0,0,0,6.85,0,6.33375,0,,,267,N,
CMLT06AMC1,85706414,,1,1,20140325,20140201,,516.62,34.44,0,0,0,0,0,1.12,82659.07,82275.5,83009.5,82628.31,352.62,30.76,0.19,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,-393.55,352.62,482.18,N,0,0,0,869.24,0,0,0,xxx,,0,0,0,0,0,0,7.5,0,6.98375,0,,,147,N,
CMLT06AMC1,85709376,,1,1,20140325,20140201,,883.28,47.49,0,0,0,0,0,1.54,113972.18,113844.48,114098.89,113972.18,127.7,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,127.7,835.79,N,0,0,0,1010.98,0,0,0,xxx,,0,0,0,0,0,0,9.3,0,8.78375,0,,,267,N,
CMLT06AMC1,85709814,,1,1,20140325,20140301,,380.9,81.04,0,0,0,0,0,2.63,194500.44,193932.1,194500.44,193932.1,568.34,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,123.33,0,0,N,0,0,0,949.24,0,0,0,xxx,,0,0,0,0,0,0,2.35,0,1.83375,0,,,267,N,
CMLT06AMC1,85711257,,1,1,20140325,20140301,,681.07,45.4,0,0,0,0,0,1.48,108971.24,108813.25,109128.25,108813.25,157.99,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,839.06,0,0,0,xxx,,0,0,0,0,0,0,7.5,0,6.98375,0,,,267,N,
CMLT06AMC1,85711570,,1,1,20140325,20140301,,352.46,88.11,0,0,0,0,0,2.86,211473.25,211024.18,211921.58,211024.18,449.07,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,801.53,0,0,0,xxx,,0,0,0,0,0,0,2,0,1.48375,0,,,267,N,
CMLT06AMC1,85721090,,1,1,20140325,20131101,,0,0,0,0,0,0,0,2.3,169975.68,169714.74,169975.68,169714.74,0,260.94,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,919.29,0,0,Y,0,0,0,1251.05,0,0,0,xxx,,0,0,9,0,0,0,6.99,0,6.47375,0,,,267,N,
CMLT06AMC1,85722536,,2,1,20140325,20140201,,505.17,46.95,0,0,0,0,0,1.53,112676.87,112458.78,113539.54,112676.87,218.09,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,218.09,458.22,N,0,0,0,723.26,0,0,0,xxx,,0,0,0,0,0,0,5.38,0,4.86375,0,,,267,N,
