Filename,Distribution Date,Determination Date,Total Principal Funds Available
CertStmtCMLT06AMC10610.pdf,10/25/2006,10/10/2006,"22,990,481.96"
certstmtcmlt06amc10611.pdf,11/27/2006,11/10/2006,"41,618,161.75"
CertStmtCMLT06AMC10612.pdf,12/26/2006,12/08/2006,"26,363,234.61"
CertStmtCMLT06AMC10701.pdf,01/25/2007,01/10/2007,"60,094,953.04"
CertStmtCMLT06AMC10702.pdf,02/26/2007,02/09/2007,"25,012,377.15"
certstmtcmlt06amc10703.pdf,03/26/2007,03/09/2007,"20,280,417.88"
CertStmtCMLT06AMC10704.pdf,04/25/2007,04/10/2007,"21,916,460.73"
CertStmtCMLT06AMC10705.pdf,05/25/2007,05/10/2007,"18,589,548.04"
CertStmtCMLT06AMC10706.pdf,06/25/2007,06/08/2007,"17,542,778.10"
CertStmtCMLT06AMC10707.pdf,07/25/2007,07/10/2007,"21,172,328.47"
CertStmtCMLT06AMC10708.pdf,08/27/2007,08/10/2007,"19,131,295.24"
CertStmtCMLT06AMC10709.PDF,09/25/2007,09/10/2007,"15,262,064.49"
CertStmtCMLT06AMC10710.pdf,10/25/2007,10/10/2007,"10,765,095.80"
CertStmtCMLT06AMC10711.pdf,11/26/2007,11/09/2007,"9,586,824.92"
CertStmtCMLT06AMC10712.pdf,12/26/2007,12/10/2007,"8,697,183.76"
CertStmtCMLT06AMC10801.pdf,01/25/2008,01/10/2008,"7,986,583.10"
CertStmtCMLT06AMC10802.pdf,02/25/2008,02/08/2008,"6,095,204.34"
CertStmtCMLT06AMC10803.pdf,03/25/2008,03/10/2008,"9,314,307.15"
certstmtcmlt06amc10804.pdf,04/25/2008,04/10/2008,"8,083,963.91"
CertStmtCMLT06AMC10805.pdf,05/27/2008,05/09/2008,"9,251,312.25"
CertStmtCMLT06AMC10806.pdf,06/25/2008,06/10/2008,"8,344,596.42"
CertStmtCMLT06AMC10807.pdf,07/25/2008,07/10/2008,"11,497,547.23"
CertStmtCMLT06AMC10808.pdf,08/25/2008,08/08/2008,"12,744,506.64"
CertStmtCMLT06AMC10809.pdf,09/25/2008,09/10/2008,"8,944,244.81"
CertStmtCMLT06AMC10810.pdf,10/27/2008,10/10/2008,"10,895,739.90"
CertStmtCMLT06AMC10811.pdf,11/25/2008,11/10/2008,"10,805,703.88"
CertStmtCMLT06AMC10812.pdf,12/26/2008,12/10/2008,"7,466,923.20"
CertStmtCMLT06AMC10901.pdf,01/26/2009,01/09/2009,"6,471,179.32"
CertStmtCMLT06AMC10902.pdf,02/25/2009,02/10/2009,"8,846,781.37"
CertStmtCMLT06AMC10903.pdf,03/25/2009,03/10/2009,"2,793,995.17"
CertStmtCMLT06AMC10904.pdf,04/27/2009,04/10/2009,"6,592,494.23"
CertStmtCMLT06AMC10905.pdf,05/26/2009,05/08/2009,"2,286,964.03"
CertStmtCMLT06AMC10906.pdf,06/25/2009,06/10/2009,"5,017,216.18"
CertStmtCMLT06AMC10907.pdf,07/27/2009,07/10/2009,"6,798,206.60"
CertStmtCMLT06AMC10908.pdf,08/25/2009,08/10/2009,"5,068,906.20"
CertStmtCMLT06AMC10909.pdf,09/25/2009,09/10/2009,"5,789,578.05"
CertStmtCMLT06AMC10910.pdf,10/26/2009,10/09/2009,"6,295,900.60"
CertStmtCMLT06AMC10911.pdf,11/25/2009,11/10/2009,"4,557,555.00"
CertStmtCMLT06AMC10912.pdf,12/28/2009,12/10/2009,"3,919,558.03"
CertStmtCMLT06AMC11001.pdf,01/25/2010,01/08/2010,"3,366,054.91"
CertStmtCMLT06AMC11002.pdf,02/25/2010,02/10/2010,"3,427,917.10"
CertStmtCMLT06AMC11003.pdf,03/25/2010,03/10/2010,"36,910.47"
CertStmtCMLT06AMC11004.pdf,04/26/2010,04/09/2010,"1,251,703.20"
CertStmtCMLT06AMC11005.pdf,05/25/2010,05/10/2010,"1,910,007.57"
CertStmtCMLT06AMC11006.pdf,06/25/2010,06/10/2010,"1,677,395.66"
CertStmtCMLT06AMC11007.pdf,07/26/2010,07/09/2010,"1,491,827.55"
CertStmtCMLT06AMC11008.pdf,08/25/2010,08/10/2010,"1,277,387.07"
CertStmtCMLT06AMC11009.pdf,09/27/2010,09/10/2010,"911,783.48"
CertStmtCMLT06AMC11010.pdf,10/25/2010,10/08/2010,"744,503.82"
CertStmtCMLT06AMC11011.pdf,11/26/2010,11/10/2010,"586,775.15"
CertStmtCMLT06AMC11012.pdf,12/27/2010,12/10/2010,"362,317.79"
